code,label,va,md,nc,mn
D0120,Periodic Oral Evaluation,26.99,31.81,26.96,32.93
D1110,Adult Prophylaxis (Cleaning),63.19,67.12,39.83,89.18
D2140,Amalgam Filling 1 Surface,79.51,73.85,78.12,87.54
D2150,Amalgam Filling 2 Surfaces,101.14,92.84,98.99,110.25
D2330,Composite Filling 1 Surface Anterior,99.46,96.95,68.90,102.15
D0150,Comprehensive Oral Evaluation,41.92,56.34,46.65,54.71
D0330,Panoramic X-Ray,72.30,45.95,61.95,97.20
D3310,Root Canal Anterior,502.13,395.00,296.52,489.00
D7140,Simple Extraction,,,52.97,
